model,imp,boot_i_start,boot_i_end,stroke_defn
crude,1,0,1100,stroke_combined
crude,2,0,1100,stroke_combined
crude,3,0,1100,stroke_combined
crude,4,0,1100,stroke_combined
crude,5,0,1100,stroke_combined
crude,1,0,1100,stroke_isd_acvd
crude,2,0,1100,stroke_isd_acvd
crude,3,0,1100,stroke_isd_acvd
crude,4,0,1100,stroke_isd_acvd
crude,5,0,1100,stroke_isd_acvd
weighted,1,0,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,1,1,100,stroke_combined
weighted,2,0,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,2,1,100,stroke_combined
weighted,3,0,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,3,1,100,stroke_combined
weighted,4,0,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,4,1,100,stroke_combined
weighted,5,0,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,5,1,100,stroke_combined
weighted,1,0,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,1,1,100,stroke_isd_acvd
weighted,2,0,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,2,1,100,stroke_isd_acvd
weighted,3,0,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,3,1,100,stroke_isd_acvd
weighted,4,0,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,4,1,100,stroke_isd_acvd
weighted,5,0,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
weighted,5,1,100,stroke_isd_acvd
